Aléas générés par le changement climatique      ;Spécificités des territoires littoraux ;Méthodes traditionnelles de gestion des risques côtiers ;Politiques de transition                                              ;Territoires concernés                                         ;Institutions et acteurs                                                          ;
Submersion marine                               ;Lagunes                                ;Epis                                                    ;Relocalisation                                                        ;Etablissements Publics Intercommunaux (EPCI)                  ;DREAL                                                                            ;
Inondation côtière                              ;Marais salants                         ;Brisants                                                ;Déplacement des populations                                           ;Communautés de communes                                       ;Direction de l'Environnement, de l'Aménagement et du Logement                    ;
Montée des eaux                                 ;Bassins côtiers                        ;Barres de rochers                                       ;Migration anticipée                                                   ;Agglomérations                                                ;DDTM                                                                             ;
Erosion côtière                                 ;Plages                                 ;Brises lames                                            ;Repli stratégique                                                     ;Schémas de Cohérence Territoriale (SCOT)                      ;Directions Départementales des Territoires et de la Mer                          ;
Recul du littoral                               ;Rivages                                ;Brise-lames                                             ;Retrait progressif                                                    ;Plans d'aménagement du territoire                             ;Conservatoire du Littoral                                                        ;
Perte de plage                                  ;Estrans                                ;Brisants artificiels                                    ;Recul planifié                                                        ;Documents d'urbanisme                                         ;Organisme de préservation des zones côtières                                     ;
Salinisation des terres                         ;Cordons dunaires                       ;Digues                                                  ;Recul                                                                 ;Métropole Montpellier Méditerranée                            ;Adapt'O                                                                          ;
Intrusion d'eau salée dans les terres agricoles ;Bancs de sable                         ;Barrages                                                ;Aménagement en retrait                                                ;Grandes agglomérations du littoral méditerranéen              ;Association pour l'adaptation aux changements climatiques en territoire littoral ;
Salinisation des aquifères                      ;Dunes littorales                       ;Murailles maritimes                                     ;Rétrocession des zones vulnérables                                    ;Métropole Perpignan Méditerranée                              ;Agence d'urbanisme AURCA Perpignan                                               ;
Intrusion saline dans les nappes phréatiques    ;Dunes                                  ;Rechargement de sable                                   ;Recomposition spatiale                                                ;Pôle urbain de la côte catalane                               ;Bureau d'études pour l'aménagement du territoire                                 ;
Risques côtiers                                 ;Collines de sable                      ;Alimentation artificielle des plages                    ;Réorganisation des territoires                                        ;Grand Narbonne                                                ;Entente interdépartementale de la démoustication (EID Méditerranée)              ;
Menaces liées au littoral                       ;Buttes sableuses                       ;Renourrissement                                         ;Restructuration côtière                                               ;Communauté d'agglomération narbonnaise                        ;Organisation de lutte contre les moustiques dans la région méditerranéenne       ;
Danger maritime                                 ;Cellules sédimentaires                 ;By-pass                                                 ;Projet Partenarial d'aménagement                                      ;Ensemble urbain de la région narbonnaise                      ;Office Français de la Biodiversité (OFB)                                         ;
Augmentation du niveau de la mer                ;Zones de dépôt                         ;Contournement des zones à risque                        ;PPA                                                                   ;Conseils départementaux : Hérault, Aude, Pyrénées-Orientales  ;Organisation de lutte contre les moustiques dans la région méditerranéenne       ;
Élévation du niveau des océans                  ;Accumulation de sédiments              ;Déviation hydraulique                                   ;Initiative collaborative de développement                             ;Gouvernements locaux des départements côtiers                 ;OBSCAT                                                                           ;
                                                ;Sables                                 ;Boudin géotextile                                       ;Loi climat et résilience                                              ;Syndicat Mixte du Bassin de Thau (SMBT)                       ;Observatoire des côtes et des aires marines protégées                            ;
                                                ;Grains de sable                        ;Géotube                                                 ;Mesures législatives pour l'adaptation climatique                     ;Structure intercommunale de gestion des ressources maritimes  ;EPTB (Établissement Public Territorial de Bassin)                               ;
                                                ;Particules sédimentaires               ;Système de confinement de sable                         ;Cadre juridique de la résilience                                      ;SMARR (Syndicat mixte Aude)                                   ;Organisme de gestion des ressources hydrauliques                                 ;
                                                ;Stocks sédimentaires                   ;                                                        ;GEMAPI                                                                ;Organisation territoriale pour la gestion des risques côtiers ;TRI (Territoire à Risque d’Inondation)                                           ;
                                                ;Réserves de sable                      ;                                                        ;Gestion intégrée des milieux aquatiques et prévention des inondations ;Parc Naturel de la Narbonnaise (PNR Narbonnaise)              ;Zones sujettes aux inondations côtières                                          ;
                                                ;Accumulations naturelles               ;                                                        ;Solutions fondées sur la nature                                       ;Réserve naturelle protégée en bordure du littoral             ;Cour Régionale des Comptes                                                       ;
                                                ;Falaises                               ;                                                        ;Approches basées sur l'écosystème                                     ;Parc Marin du Golfe du Lion                                   ;Instance de contrôle des finances publiques locales                              ;
                                                ;Escarpements                           ;                                                        ;Stratégies écologiques                                                ;Zone marine protégée dans le golfe du Lion                    ;                                                                                 ;
                                                ;Parois rocheuses                       ;                                                        ;Plan Littoral 21 (PL21)                                               ;                                                              ;                                                                                 ;
                                                ;Trait de Côte                          ;                                                        ;Programme de développement durable des zones côtières                 ;                                                              ;                                                                                 ;
                                                ;Ligne de rivage                        ;                                                        ;Stratégie territoriale pour le littoral                               ;                                                              ;                                                                                 ;
                                                ;Limite terrestre-maritime              ;                                                        ;                                                                      ;                                                              ;                                                                                 ; 
